"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2031293354269372427","Tue Mar 10 08:57:29 +0000 2026","0","Lovely to see the blue sky and daffodils out that means time for a long @walkingsbrill https://t.co/8BwGs1191s","2031293354269372427","https://pbs.twimg.com/media/HDCaiUGXsAAcvs9.jpg","","en","","0","0","0","https://x.com/undefined/status/2031293354269372427","1046038674",
"2031291755904250070","Tue Mar 10 08:57:27 +0000 2026","0","@stewie50703 Engagement farming without a blue tick is a strong sign of unemployment","2031293345834872911","","stewie50703","en","","0","0","0","https://x.com/undefined/status/2031293345834872911","1392081075455741953",
"2031293314125684814","Tue Mar 10 08:57:20 +0000 2026","0","it should ve felt suffocating，really．boring．suffocating and boring．emotional blue balls in the form of domesticity．it came to him as natural as breathing．as steady as her presence beside him，this constant thread had woven into his days．","2031293314125684814","","","en","","0","0","0","https://x.com/undefined/status/2031293314125684814","1994417692204490752",
"2031293318835929264","Tue Mar 10 08:57:21 +0000 2026","0","🇷🇺🇺🇦 Russian propaganda is falling apart. Russian deception vs Ukrainian reality: Milblogger maps claim Kostyantynivka is falling to a glorious Russian army. Reality: Ukrainian troops are counterattacking in the suburbs and steadily turning those areas Ukrainian blue. https://t.co/RpQG74VOcp","2031293318835929264","https://pbs.twimg.com/media/HDCaYphXMAAusT8.jpg","","en","","0","0","0","https://x.com/undefined/status/2031293318835929264","1814360055879270400",
"2031293304357216634","Tue Mar 10 08:57:18 +0000 2026","0","omg i'm so glad I was able to see them live but I'm so sad this is happening????? like wtf why???? completely out of the blue?","2031293304357216634","","","en","","0","0","0","https://x.com/undefined/status/2031293304357216634","1256129088215027712",
"2031293289912054188","Tue Mar 10 08:57:14 +0000 2026","0","this is literally so out of the blue bro what do you mean im so speechless and so sad i cant believe this is real what","2031293289912054188","","","en","","0","0","0","https://x.com/undefined/status/2031293289912054188","1396525518078480384",
"2031270589625938213","Tue Mar 10 08:57:13 +0000 2026","0","@GlasperKev52983 @GravesLore24974 Based on the thumbnail image it's a young woman with long brown hair in a blue denim overall dress sitting in the back of a vehicle (maybe a van or taxi) hand on her chest looking concerned. Subtitle reads: There is a lot of traffic... Thai watermark in the corner. I don't","2031293284606173605","","GlasperKev52983","en","","0","0","0","https://x.com/undefined/status/2031293284606173605","1720665183188922368",
"2031293279078076844","Tue Mar 10 08:57:11 +0000 2026","0","Lord im an army IM SHOCKED ??? Why would he just leave out of the blue like that?? To my understanding there werent even any hints before to make you suspect that?!","2031293279078076844","","","en","","0","0","0","https://x.com/undefined/status/2031293279078076844","1762380514135068672",
"2031293274506269061","Tue Mar 10 08:57:10 +0000 2026","2","UnitFlow Finance Minter Ranks Update! From Egg (234k) to crowned Salmon (2 934) and pushing toward that epic 0-rank Blue Whale. Daily minters are flowing strong. Who's climbing the levels next? https://t.co/OIrkrt4wps","2031293274506269061","https://pbs.twimg.com/media/HDCaa_ZWgAAq4M0.jpg","","en","","0","1","0","https://x.com/undefined/status/2031293274506269061","1984648097851670528",
"2031293269120827721","Tue Mar 10 08:57:09 +0000 2026","0","Happy birthday to our beautiful infuriating cherished bonkers football club Chelsea FC. You make us happy when skies are grey and want to pull our hair out even when skies are blue! Oh Chelsea we love you! @ChelseaFC","2031293269120827721","","","en","","0","0","0","https://x.com/undefined/status/2031293269120827721","45980610",
