conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2035096262614430133,Sat Mar 21 12:43:38 +0000 2026,0,@Gigazolto @Genshin_Forever Claramente o do Heroes é o Blue Evo com MUI mas certeza que aconteceu algo pra eles não poderem colocar o nome das duas formas https://t.co/FGEwWu5z9S,2035336531917869302,https://pbs.twimg.com/tweet_video_thumb/HD73yKua4AADp-t.jpg,Gigazolto,pt,,0,0,0,https://x.com/undefined/status/2035336531917869302,1252669063249231872,
2035336519708233925,Sat Mar 21 12:43:35 +0000 2026,0,VAMOSSS BLUE BLOOD ️,2035336519708233925,,,en,,0,0,0,https://x.com/undefined/status/2035336519708233925,1335182275806457856,
2035199445785010334,Sat Mar 21 12:43:34 +0000 2026,0,@its_The_Dr Yes it is most likely true. Plus muslims are a blue city problem.,2035336515208065423,,its_The_Dr,en,,0,0,0,https://x.com/undefined/status/2035336515208065423,1853543550329434112,
2035048866383303065,Sat Mar 21 12:43:33 +0000 2026,0,@_Tedsville_ @dave24144975 you forgot to get the blue tick,2035336510388486614,,_Tedsville_,en,,0,0,0,https://x.com/undefined/status/2035336510388486614,224586419,
2035336506890412508,Sat Mar 21 12:43:32 +0000 2026,0,Perry Stevenson is one of us for sure Go big blue!!!!,2035336506890412508,,,en,,0,0,0,https://x.com/undefined/status/2035336506890412508,1548638748312731648,
2035336505871519983,Sat Mar 21 12:43:32 +0000 2026,0,HEAVEN S DRIVEとかDIVE TO BLUEとかPiecesとかSTAY AWAY とか浸食とか聴きたい,2035336505871519983,,,ja,,0,0,0,https://x.com/undefined/status/2035336505871519983,2780097510,
2035336502180225322,Sat Mar 21 12:43:31 +0000 2026,0,Check out Native American Indian Chief Themed Turquoise Blue Decorative Lamp Signed https://t.co/qGdD2mfqGG #eBay via @eBay,2035336502180225322,,,en,,0,0,0,https://x.com/undefined/status/2035336502180225322,65386415,
2035336491275276378,Sat Mar 21 12:43:28 +0000 2026,0,ciao those baby blue eyes aye,2035336491275276378,,,en,,0,0,0,https://x.com/undefined/status/2035336491275276378,841247601487831040,
2035336487156207868,Sat Mar 21 12:43:27 +0000 2026,0,Rutos Scorecard is mainly on job creation for the youths through projects on Blue Economy ICT Sports and Security to keep our young people actively engaged.The rate of unemployment reduced under Ruto's administration.#TukoKadi! Wilson Airport Yoweri Museveni Gachagua osotsi odm https://t.co/cXnCez7h2J,2035336487156207868,https://pbs.twimg.com/media/HD72HmrbcAE3p66.jpg,,en,,0,0,0,https://x.com/undefined/status/2035336487156207868,1688940565381943296,
2035244207976456569,Sat Mar 21 12:43:26 +0000 2026,0,@SmashJT Gotta love people who have to add to their own fucking name Didn't pay for the blue check But probably are posting 1 000's of tweets daily lmao. Like bruh the 7.99 a month is so insane to give to twitter but your 1 000 tweets mean nothing. Typical liberal logic.,2035336483255591111,,SmashJT,en,,0,0,0,https://x.com/undefined/status/2035336483255591111,1469451165226225666,
2035327674256671142,Sat Mar 21 12:43:26 +0000 2026,0,@john322226 Lobi I need a blue tick help me,2035336482169258494,,john322226,en,,0,0,0,https://x.com/undefined/status/2035336482169258494,1119246533457862693,
